text,choices,correct_answer,discrimination,difficulty,guessing
Choose the word that has a similar meaning to AGRIBUSINESS,"{""A"": ""FARMING INDUSTRY"", ""B"": ""COMMERCE"", ""C"": ""AGRICULTURE SCHOOL""}","A",1.86,2.80,0.33
Choose the word that has a similar meaning to SYSTOLIC,"{""A"": ""RELAXATION"", ""B"": ""CONTRACTION"", ""C"": ""BREATHING""}","B",1.82,2.68,0.33
Choose the word that has a similar meaning to STOLID,"{""A"": ""SOLID"", ""B"": ""EMOTIONAL"", ""C"": ""IMPASSIVE""}","C",1.80,2.56,0.33
Choose the word that has a similar meaning to PERTURBATION,"{""A"": ""DISTURBANCE"", ""B"": ""CALCULATION"", ""C"": ""REVERSAL""}","A",1.80,2.56,0.33
Choose the word that has a similar meaning to PLATITUDE,"{""A"": ""ALTITUDE"", ""B"": ""CLICHÉ"", ""C"": ""GRATITUDE""}","B",1.80,2.56,0.33
Choose the word that has a similar meaning to PHARMA,"{""A"": ""FARM"", ""B"": ""PHARMACEUTICAL INDUSTRY"", ""C"": ""PHARMACY""}","B",1.80,2.56,0.33
Choose the word that has a similar meaning to IMPEND,"{""A"": ""SUSPEND"", ""B"": ""THREATEN"", ""C"": ""SPEND""}","B",1.78,2.44,0.33
Choose the word that has a similar meaning to PHONETICALLY,"{""A"": ""PHONETICS"", ""B"": ""SOUND-BASED"", ""C"": ""PHONE-RELATED""}","B",1.78,2.44,0.33
Choose the word that has a similar meaning to STENT,"{""A"": ""TUBE"", ""B"": ""SCENT"", ""C"": ""STINT""}","A",1.78,2.44,0.33
Choose the word that has a similar meaning to MORTIFY,"{""A"": ""KILL"", ""B"": ""EMBARRASS"", ""C"": ""FORTIFY""}","B",1.78,2.44,0.33
Choose the word that has a similar meaning to PALPITATION,"{""A"": ""MEDITATION"", ""B"": ""CONSULTATION"", ""C"": ""RAPID HEARTBEAT""}","C",1.76,2.32,0.33
Choose the word that has a similar meaning to DOTING,"{""A"": ""EXCESSIVELY FOND"", ""B"": ""NOTING"", ""C"": ""DOTTING""}","A",1.76,2.32,0.33
Choose the word that has a similar meaning to DERIVATIVE,"{""A"": ""RIVER"", ""B"": ""DERIVED"", ""C"": ""ORIGINAL""}","B",1.74,2.20,0.33
Choose the word that has a similar meaning to CREOSOTE,"{""A"": ""WOOD PRESERVATIVE"", ""B"": ""CREATED"", ""C"": ""CREATURE""}","A",1.74,2.20,0.33
Choose the word that has a similar meaning to PURPOSELESSLY,"{""A"": ""NEEDLESSLY"", ""B"": ""PURPOSEFULLY"", ""C"": ""AIMLESSLY""}","C",1.74,2.20,0.33
Choose the word that has a similar meaning to WORLDVIEW,"{""A"": ""VIEWING"", ""B"": ""PERSPECTIVE"", ""C"": ""WORLD MAP""}","B",1.74,2.20,0.33
