text,choices,correct_answer,antonym,unrelated,discrimination,difficulty,guessing
LOUDLY,"{""A"": ""QUIETLY"", ""B"": ""QUICKLY"", ""C"": ""NOISILY""}",C,A,B,1.2282639840057459,0.12193038029223234,0.28157932368762517
SHOULDER,"{""A"": ""UPPER ARM"", ""B"": ""FOOT"", ""C"": ""SHIRT""}",A,B,C,1.059215253153877,-0.9156028292639609,0.29961589197098465
DIE,"{""A"": ""END"", ""B"": ""LIVE"", ""C"": ""BREATHE""}",A,B,C,1.0318854111387008,-0.9571256714947503,0.31080106818412706
BRAG,"{""A"": ""SHARE"", ""B"": ""BOAST"", ""C"": ""HIDE""}",B,C,A,1.313166061628777,0.07119011042971539,0.27993342632577134
TRUST,"{""A"": ""DOUBT"", ""B"": ""BELIEVE"", ""C"": ""IGNORE""}",B,A,C,1.0976360390142879,-0.3553890215882572,0.3052306314704327
WINNING,"{""A"": ""PLAYING"", ""B"": ""LOSING"", ""C"": ""VICTORIOUS""}",C,B,A,1.3085191303179187,-0.9203426138647453,0.2932033620654839
POWER,"{""A"": ""STRENGTH"", ""B"": ""WEAKNESS"", ""C"": ""WEIGHT""}",A,B,C,1.0528723705184357,-0.14292988806570198,0.3147642608468464
NETWORK,"{""A"": ""WEB"", ""B"": ""TELEVISION"", ""C"": ""DISCONNECTION""}",A,C,B,1.309917891453853,0.8285700907899245,0.30964583220052866
FANCY,"{""A"": ""PLAIN"", ""B"": ""STYLISH"", ""C"": ""BRIGHT""}",B,A,C,1.097242120441707,-0.13167807958225855,0.29460114861720205
CHALLENGE,"{""A"": ""RUN"", ""B"": ""SUCCESS"", ""C"": ""STRUGGLE""}",C,B,A,1.22685495445006,-0.0652644100725514,0.3095008691784579
DISPLAY,"{""A"": ""EXHIBIT"", ""B"": ""REMOVAL"", ""C"": ""HIDE""}",A,C,B,1.1764079638900178,-0.010265977009582419,0.3079777087785567
NERVOUS,"{""A"": ""SLEEPY"", ""B"": ""ANXIOUS"", ""C"": ""CONFIDENT""}",B,C,A,1.186249679180949,-0.18620068137903792,0.29066195535980716
CRYSTAL,"{""A"": ""DIRT"", ""B"": ""WINDOW"", ""C"": ""GEM""}",C,A,B,1.25170201557829,0.07524327420531704,0.29384869912459444
SERIOUSLY,"{""A"": ""EARNESTLY"", ""B"": ""LIGHTLY"", ""C"": ""LOUDLY""}",A,B,C,0.9285927001518465,0.6594904670784434,0.29928157854990406
WRECK,"{""A"": ""BUILD"", ""B"": ""DESTROY"", ""C"": ""IGNORE""}",B,A,C,1.2103472885997202,0.05241839656160257,0.287606105326466
ATMOSPHERE,"{""A"": ""OCEAN"", ""B"": ""VACUUM"", ""C"": ""AIR""}",C,B,A,1.0693488109209697,0.6406755893015376,0.2967213652804369
RECEIVE,"{""A"": ""TAKE"", ""B"": ""SEND"", ""C"": ""READ""}",A,B,C,1.0522118434084187,0.08952889016463983,0.3153754529196529
ALGEBRA,"{""A"": ""ART"", ""B"": ""MATH"", ""C"": ""HOMEWORK""}",B,A,C,1.2036818414764137,1.1575853179190279,0.28084985199441437
ASSISTANT,"{""A"": ""ASSIGNMENT"", ""B"": ""LEADER"", ""C"": ""HELPER""}",C,B,A,1.1046712413309585,0.30391724133243514,0.2998725045779076
IMPROVE,"{""A"": ""DECLINE"", ""B"": ""ENHANCE"", ""C"": ""CALCULATE""}",B,A,C,1.2212945756119993,-0.06187900371025416,0.3096690110779038
ACCUSE,"{""A"": ""FORGIVE"", ""B"": ""SHARE"", ""C"": ""BLAME""}",C,A,B,1.2164615293125642,0.430980735393828,0.30155435274792713
ENTERTAINMENT,"{""A"": ""FUN"", ""B"": ""SLEEP"", ""C"": ""STRESS""}",A,C,B,0.9799305909716289,-0.036696756425480155,0.2998852556415082
POSSIBILITY,"{""A"": ""LIMIT"", ""B"": ""CHANCE"", ""C"": ""QUESTION""}",B,A,C,0.7941020883110643,0.2626316642256628,0.3003778086493598
DIAMOND,"{""A"": ""JEWELRY"", ""B"": ""GOLD"", ""C"": ""MUD""}",A,C,B,1.197611588995671,-0.25011535399085916,0.29554587546156486
GUILTY,"{""A"": ""PROUD"", ""B"": ""HAPPY"", ""C"": ""ASHAMED""}",C,A,C,1.1966531937521054,0.1857143007156964,0.29672815748163334
STALK,"{""A"": ""FOLLOW"", ""B"": ""STAND"", ""C"": ""AVOID""}",A,C,B,1.2534625804658122,0.28762188393941845,0.2854299181093697
DOCUMENT,"{""A"": ""PICTURE"", ""B"": ""RECORD"", ""C"": ""BLANK""}",B,C,A,1.1035183461423816,0.6343333001077234,0.30674094729782475
TOUGH,"{""A"": ""EASY"", ""B"": ""ANGRY"", ""C"": ""HARD""}",C,A,B,1.2553588559485325,-0.5457043348686973,0.2998936881384284
DESCRIPTION,"{""A"": ""INSTRUCTION"", ""B"": ""SILENCE"", ""C"": ""EXPLANATION""}",C,B,A,1.0574259241438222,0.37408329867887297,0.30082174880086
SWEEP,"{""A"": ""DIG"", ""B"": ""CLEAN"", ""C"": ""MESS UP""}",B,C,A,1.151243709910624,-0.8490956656419812,0.2927966559746258
TRANSFER,"{""A"": ""MOVE"", ""B"": ""HOLD"", ""C"": ""STORE""}",A,B,C,1.2479308749729743,0.7617164149944688,0.3061035683722481
ECOSYSTEM,"{""A"": ""POLLUTION"", ""B"": ""ENVIRONMENT"", ""C"": ""SHOPPING""}",B,A,C,1.080607684277037,1.0179248454161929,0.290318007934496
AVOID,"{""A"": ""DODGE"", ""B"": ""FACE"", ""C"": ""ADOPT""}",A,C,B,1.1508896168952418,0.26085967254837295,0.3070963430382396
